#gene	differential_expression_T_test_p_value	4170686/tumor	4177987_tumor	4160468_tumor	4121361_tumor	4159170_tumor	4134005_tumor	4139696_tumor	4177601_tumor	4105105_tumor	4175837_tumor	4158726_tumor	4189200_tumor	4174905_tumor	4188900_tumor	normal_gcb_cells_SRR834985	normal_gcb_cells_SRR834984	normal_gcb_cells_SRR834986	normal_gcb_cells_SRR834983
DHX16	3.190339766540552e-06	2.7820181733286464	2.641518098847171	2.520561225070448	2.4622459407026787	3.0339069346478005	2.345481100218803	2.381671247062698	2.5933345938789514	2.902000286717278	2.818623048015116	3.3308550115068742	2.8570447104664307	2.3977142012271315	2.970270488458891	3.4309617133916017	3.391024194028638	3.277758362526038	3.536873949352844
DHX34	3.7754412011382037e-06	1.0197552981525773	0.8574767604276515	0.8256427347859202	0.7754337341643214	1.0078441050668234	0.8957835123635102	0.7941009818125216	0.862568578461054	1.1648108148441345	0.8127621642661516	1.0032290710231866	1.0783255906306155	0.779564860289699	1.0868786791212082	1.3460303029732412	1.2197542994370785	1.319764896931327	1.2561002439911848
DHX36	0.022159588771251175	1.2127350233134093	1.175150111673088	1.2653398329470855	1.2728770592879035	1.4156479263375132	1.524668093317821	1.347545145330275	1.1034529585738728	1.4917306094013139	1.0745974631031983	1.21917513985477	1.3603314168186975	1.6094919027491825	1.4045369268772265	1.5577447382551872	1.624528671359193	2.023048888719825	1.6837636062685162
DHX37	1.5113108786972001e-06	0.662194539895623	0.6397799116918378	0.745692436807475	0.7213966983030367	0.6729488322886252	0.6397799116918378	1.2363836763929124	0.6148125865398973	0.7417963472839942	0.6346890316743982	0.5924632001884392	0.7391114819317632	0.6082950022518214	0.7726209428870873	1.1095939654807696	1.139283157032667	1.1292625630962587	1.022142482404498
DHX38	8.030749607912713e-10	3.0236570268083356	3.181907735108166	3.341813328992902	2.534408523914002	3.896307980063826	2.7775117500722866	2.1204813470728165	2.674837607988198	4.111656764482894	2.802285905103298	4.098964292245439	3.178960552363392	3.110335786298683	3.3617557846745227	5.812856023451136	5.551740160516559	5.972385305047273	6.03232477227042
DHX40	5.44423064233345e-05	0.9122548278210567	1.1207820914163906	1.2660507029930763	1.1296518822165882	1.3423536982395265	1.165914898185704	1.4709914140710003	1.1447182900541562	1.1820997954152375	1.223390902266753	0.8936386434143968	1.2496904467129741	1.2733164606459768	0.967342559761664	1.5979984561117937	1.4808219920920118	1.6885666603652534	1.647048554943495
DHX58	6.777256952546971e-06	2.7663354827502635	1.9216982320177804	1.0499714425926538	1.9917826613007468	1.8839231758969193	0.9718695041149026	1.756194034485977	2.3325384763530597	1.7112759596716227	1.8189623180280405	2.0314522307062974	1.7536712246627553	1.3696157068389239	1.3396008797265404	0.6538005620240452	0.9507808356793644	0.7807280086465096	0.5742041942108288
DHX8	2.300692801647317e-05	0.9718695041149026	1.2458879323764214	1.3666959914150119	1.0868786791212082	1.4750950697986902	1.2865968941434813	1.0174150836000289	1.0139056821293473	1.1414532517295326	1.0921672422016468	1.0184840970327715	1.1181562533968945	1.164179202053865	1.0339407391051016	1.5186211759898982	1.6077197406099166	1.6320839906980988	1.7289044683953714
DHX9	0.0003735963227021131	3.0396104498126446	3.7555181897479133	4.038679427419826	3.5169252846173613	3.481842774604554	3.2315862360615784	4.682588158798443	3.1826387266396203	3.9907913388775946	3.3127486298879485	2.8885903530163346	3.4879195547285633	3.9674237315893848	3.2872844430709076	6.64266528670883	8.044487314683742	8.035129751695948	7.790561226180941
DIAPH1	0.004959568117158687	2.209994805502896	2.8495729199313726	2.557782661171275	2.060118336199446	1.9380314159674787	3.3617557846745227	2.2012453477943037	1.8452280441546836	2.014255334810743	2.0070074036494203	1.7598175387432269	1.8872630261392236	2.205106735094496	1.8529420964052912	2.6995764223817442	3.2193192464422604	3.6210964001412242	3.3653841607338832
